#,Temp,T Sort,Pressure,P Sort,Backflow,B Sort,Ave Sort,,Pressure,
882,0.30%,696,-1.39%,248,-10.58%,380,441,,,
814,-0.03%,420,-0.10%,447,-7.29%,457,441,,,
875,-0.01%,435,0.48%,548,-11.61%,343,442,,,
258,0.00%,449,0.80%,605,-14.54%,273,442,,,
640,-0.06%,394,-2.03%,168,11.17%,767,443,,,
963,0.12%,559,-0.83%,340,-8.50%,431,443,,,
220,-0.09%,365,-0.70%,359,-0.78%,609,444,,,
569,0.28%,676,-0.08%,452,-17.85%,207,445,,,
420,0.06%,507,2.37%,760,-26.57%,69,445,,,
778,-0.26%,240,2.38%,761,-12.00%,335,445,,,
551,0.33%,713,-2.01%,171,-7.61%,453,446,,,
834,-0.10%,355,-0.18%,439,-4.09%,544,446,,,
721,0.09%,547,-1.41%,245,-3.75%,547,446,,,
638,-0.77%,110,1.03%,636,-1.54%,593,446,,,
876,0.07%,521,0.28%,508,-12.61%,312,447,,,
71,0.02%,470,2.34%,755,-23.15%,118,448,,,
619,0.67%,872,-0.08%,453,-30.47%,19,448,,,
111,1.37%,964,-1.95%,179,-18.02%,202,448,,,
33,-1.19%,67,0.70%,591,4.83%,687,448,,,
224,0.30%,697,-2.30%,144,-5.61%,507,449,,,
230,0.52%,814,0.08%,476,-27.04%,59,450,,,
443,-0.18%,294,0.87%,617,-8.17%,438,450,,,
347,-0.60%,137,1.70%,711,-5.90%,502,450,,,
620,0.73%,894,-0.45%,401,-27.13%,56,450,,,
200,0.27%,669,-0.96%,322,-11.15%,362,451,,,
404,0.21%,632,1.44%,678,-27.96%,46,452,,,
904,0.00%,447,-1.98%,173,8.65%,736,452,,,
397,0.22%,637,1.39%,670,-27.49%,52,453,,,
746,0.14%,573,-0.96%,321,-7.14%,465,453,,,
72,1.80%,980,-1.25%,278,-24.94%,105,454,,,
93,-0.97%,88,22.17%,998,-14.38%,277,454,,,
883,0.16%,588,-0.28%,427,-11.43%,348,454,,,
221,-0.19%,291,-0.38%,412,3.32%,662,455,,,
566,0.07%,522,0.25%,500,-11.60%,344,455,,,
233,-0.20%,279,4.46%,879,-17.67%,210,456,,,
49,0.12%,567,2.13%,747,-27.13%,57,457,,,
978,0.18%,609,0.41%,537,-17.15%,225,457,,,
887,-0.01%,433,-2.91%,99,24.02%,840,457,,,
980,-0.41%,185,0.64%,577,-0.56%,611,458,,,
314,-0.12%,342,0.31%,517,-5.31%,517,459,,,
69,0.02%,468,4.91%,894,-31.14%,15,459,,,
725,0.12%,557,-1.09%,306,-5.34%,515,459,,,
702,0.10%,549,-1.32%,263,-3.00%,567,460,,,
322,-0.69%,125,3.44%,840,-9.13%,415,460,,,
301,0.05%,495,-3.31%,79,17.67%,806,460,,,
60,0.45%,784,0.12%,484,-23.34%,114,461,,,
444,-0.10%,358,0.24%,498,-4.70%,528,461,,,
717,0.16%,587,-1.36%,252,-3.89%,546,462,,,
790,-0.51%,165,0.33%,520,5.73%,700,462,,,
379,0.09%,546,1.43%,677,-20.15%,165,463,,,
870,-0.02%,430,1.13%,644,-12.49%,314,463,,,
601,0.69%,880,0.17%,489,-30.40%,21,463,,,
869,-0.06%,393,1.35%,668,-12.19%,330,464,,,
633,-0.83%,102,2.43%,766,-5.08%,523,464,,,
227,-0.20%,281,0.55%,562,-3.74%,548,464,,,
981,-0.28%,225,0.53%,556,-0.69%,610,464,,,
51,0.74%,895,-0.36%,415,-25.87%,83,464,,,
250,0.24%,657,0.38%,527,-17.68%,209,464,,,
529,0.47%,794,-1.41%,246,-11.31%,353,464,,,
195,0.42%,768,-0.89%,332,-13.62%,294,465,,,
417,0.20%,624,1.47%,683,-25.72%,88,465,,,
854,-0.07%,386,1.19%,652,-11.24%,357,465,,,
330,-1.19%,66,3.39%,837,-6.39%,492,465,,,
341,0.20%,628,-2.02%,169,-1.38%,598,465,,,
